"Survey_index","Net_name","Mesh_size","Length_FL","Maximal_girth","Catch_method"
10,"Net_20",20,22,122,"Tangled"
10,"Net_20",20,28,135,"Tangled"
10,"Net_20",20,28,159,"Tangled"
10,"Net_20",20,28,184,"Tangled"
10,"Net_20",20,30,230,"Tangled"
10,"Net_20",20,34,230,"Tangled"
10,"Net_20",20,36,215,"Tangled"
10,"Net_20",20,40,240,"Tangled"
10,"Net_25",25,14,91,"Tangled"
10,"Net_25",25,18,114,"Tangled"
10,"Net_25",25,22,115,"Tangled"
10,"Net_25",25,22,128,"Tangled"
10,"Net_25",25,24,133,"Tangled"
10,"Net_25",25,26,121,"Tangled"
10,"Net_25",25,26,121,"Tangled"
10,"Net_25",25,26,137,"Tangled"
10,"Net_25",25,28,178,"Tangled"
10,"Net_25",25,28,131,"Tangled"
10,"Net_30",30,22,112,"Tangled"
10,"Net_30",30,32,172,"Tangled"
11,"Net_20",20,18,105,"Wedged"
11,"Net_20",20,20,103,"Wedged"
11,"Net_20",20,20,111,"Wedged"
11,"Net_20",20,22,130,"Wedged"
11,"Net_20",20,22,120,"Wedged"
11,"Net_20",20,22,140,"Wedged"
11,"Net_20",20,24,110,"Wedged"
11,"Net_20",20,24,120,"Wedged"
11,"Net_20",20,24,128,"Wedged"
11,"Net_20",20,24,113,"Wedged"
11,"Net_20",20,26,114,"Wedged"
11,"Net_20",20,26,132,"Wedged"
11,"Net_20",20,28,125,"Wedged"
11,"Net_25",25,22,112,"Wedged"
11,"Net_25",25,24,142,"Wedged"
11,"Net_25",25,24,113,"Wedged"
11,"Net_25",25,24,128,"Wedged"
11,"Net_25",25,26,139,"Wedged"
11,"Net_25",25,30,140,"Wedged"
11,"Net_30",30,24,128,"Wedged"
11,"Net_30",30,26,119,"Wedged"
11,"Net_30",30,26,121,"Wedged"
11,"Net_30",30,26,138,"Wedged"
11,"Net_30",30,26,113,"Wedged"
11,"Net_30",30,28,166,"Wedged"
11,"Net_30",30,28,141,"Wedged"
11,"Net_20",20,20,103,"Tangled"
11,"Net_20",20,22,127,"Tangled"
11,"Net_20",20,24,119,"Tangled"
11,"Net_20",20,26,114,"Tangled"
11,"Net_20",20,26,113,"Tangled"
11,"Net_20",20,26,141,"Tangled"
11,"Net_20",20,28,172,"Tangled"
11,"Net_20",20,28,179,"Tangled"
11,"Net_25",25,20,100,"Tangled"
11,"Net_25",25,20,111,"Tangled"
11,"Net_25",25,20,85,"Tangled"
